"Star_key":"S_NAME":"distance":"EFFECTIVE TEMPERATURE":"Relative Mass":"Star Radius":"RELATIVE LUMINOSITY":"Type Of Star"
372:"Bossangoa":782,67:5216:1:1,07:0,99:"G5V"
1994:"Patan":277,972:2479:0,4:0,26:0,06:"M3V"
2660:"Vantaa":358,933:NA:0,2:0,13:0,04:"M8V"
3156:"Highwater":498,678:2968:0,4:0,31:0,04:"M2V"
2280:"Senorbi":376,698:3213:0,4:0,29:NA:"M2V"
2340:"Simferopol":360,327:2598:0,4:0,47:0,07:"M3V"
1541:"Luxen":504,406:2803:0,4:0,49:0,06:"M5V"
515:"Chalouba":311,958:2855:0,3:0,31:0,06:"M3V"
2600:"Tukayyid":210,467:3121:0,3:0,32:0,07:"M2V"
1085:"Heligoland":168,671:4094:0,8:NA:0,33:"K5V"
3111:"Frobisher":598,709:3265:0,4:0,14:0,06:"M3V"
838:"Fadiffolu":343,874:NA:0,2:0,44:0,06:"M4V"
2046:"Pokhara":64,585:3068:0,3:0,63:0,05:"M3V"
847:"Falsterbo":225,756:5012:0,6:0,95:0,5:"K1V"
1468:"Laurieston":141,779:2618:0,3:NA:0,07:"M3V"
1765:"Mosiro":288,201:3980:0,8:0,95:0,14:"K7V"
2942:"Gatekeeper":1779,517:2744:0,4:0,51:0,08:"M3V"
2730:"Waypoint":522,306:2748:0,1:0,28:0,05:"M5V"
2058:"Poznan":102,506:2788:0,4:0,14:0,08:"M4V"
755:"Durabon":522,547:4662:0,7:0,83:0,25:"K3V"
1988:"Park Place":114,805:3181:0,4:0,32:0,03:"M2V"
2097:"Quimper":338,27:5483:1:1,13:1,11:"G5V"
2106:"Radstadt":319,322:2604:0,4:0,09:0,06:"M2V"
2003:"Peacock":229,088:3846:0,5:0,8:0,24:"K3V"
2889:"Celano":582,257:5296:0,9:1,03:1,16:"G5V"
511:"Chaffee":126,066:3061:0,1:0,44:0,02:"M4V"
2776:"Wotan":432,396:NA:0,4:0,54:0,04:"M5V"
695:"Deschenes":310,081:2980:0,3:0,41:0,04:"M1V"
1725:"Mitchella":501,448:4088:0,6:0,88:0,48:"K5V"
353:"Bobruisk":336,545:3129:0,1:0,13:0,01:"M2V"
329:"Biota":275,291:3183:0,4:0,15:0,04:"M3V"
2814:"Zanbasa":557,47:2636:0,3:0,53:0,07:"M1V"
224:"Awyron":489,679:2559:0,2:0,19:0,02:"M5V"
3044:"Wolf Orbital 82":691,654:3647:0,1:0,31:0,06:"M0V"
2709:"Waimalu":445,45:2510:0,3:0,17:0,08:"M5V"
580:"Colorado":397,94:3830:0,6:0,92:0,11:"K2V"
279:"Bayindir":383,041:4750:0,6:NA:0,2:"K2V"
1690:"Mesa Verde":179,476:2421:0,3:0,5:0,04:"M4V"
2722:"Warren":443,414:2679:0,3:0,63:0,08:"M6V"
2485:"Tantallon":488,941:3379:0,4:0,65:0,07:"M2V"
1833:"New Hessen":101,586:2789:0,2:0,23:0,02:"M2V"
578:"Colmar":306,523:4490:0,8:0,75:0,19:"K1V"
2451:"Swartklip":487,555:2818:0,4:0,45:0,05:"M6V"
398:"Broaddus":468,359:5385:0,8:1,03:1,15:"G2V"
2493:"Tarnby":505,243:NA:0,4:0,59:0,08:"M6V"
571:"Cohay":610,144:2811:0,4:0,36:0,08:"M1V"
2478:"Tangerz":190,998:3939:0,8:0,95:0,54:"K3V"
1671:"Memphis":579,783:4253:0,6:0,77:0,45:"K2V"
67:"Algate":497,709:2608:0,2:0,44:0,07:"M2V"
1369:"Kittery":238,547:2893:0,4:0,63:0,06:"M3V"
407:"Bruben":388,51:2661:0,1:0,7:0,04:"M1V"
2877:"Stafford":522,429:2662:0,3:0,35:0,04:"M6V"
152:"Aomen":323,666:2451:0,2:0,08:0,03:"M1V"
3116:"Melidron":1143,545:2508:0,3:0,6:0,06:"M4V"
1836:"New India":460,77:4469:0,5:0,84:0,21:"K0V"
2220:"Saltville":390,801:2542:0,2:0,62:0,06:"M3V"
2762:"Winfield":537,907:2781:0,4:0,29:0,05:"M3V"
1992:"Pasemah":544,038:2971:0,4:0,2:0,05:"M5V"
2221:"Salur":211,291:2658:0,2:0,16:0,05:"M7V"
1997:"Paulding":321,336:2899:0,4:0,67:0,08:"M1V"
2196:"Rzhishchev":368,823:3711:0,5:0,91:0,3:"K2V"
543:"Chirala":454,702:2925:0,2:0,19:0,04:"M3V"
651:"Dalkeith":159,905:5301:1:1,13:0,89:"G2V"
738:"Dralkig":528,922:2434:0,3:NA:0,02:"M0V"
288:"Beils":245,582:2512:0,4:0,12:0,08:"M5V"
2991:"Falsterbo":1143,813:4253:0,6:0,81:0,47:"K5V"
1932:"Olancha":167,368:2754:0,3:0,17:0,01:"M5V"
2792:"Yanchep":316,753:3770:0,8:0,91:0,33:"K7V"
2746:"Wernke":339,138:3914:0,7:0,79:0,26:"K2V"
2567:"Tormentine":412,22:2705:0,4:0,46:0,06:"M4V"
3021:"Epsilon Pegasus":725,437:2478:0,2:0,2:0,07:"M8V"
3106:"Beehive Cluster":816,864:4415:0,6:0,78:0,34:"K3V"
43:"Aigle":235,54:2772:0,1:0,12:0,03:"M2V"
1962:"Outpost":426,738:3151:0,1:0,21:NA:"M3V"
1:"A Place":298,999:2873:0,1:0,51:0,02:"M0V"
2599:"Tuat":312,074:2942:0,3:0,53:0,02:"M5V"
3153:"Cassilda":419,242:2646:0,3:0,36:0,08:"M3V"
1336:"Kestrel":272,365:2586:0,1:0,47:0,04:"M4V"
2854:"EC821-387D":1744,888:2786:0,3:0,45:0,02:"M3V"
583:"Conakry":342,513:2640:0,3:0,24:0,03:"M2V"
2438:"Sunchon":344,672:2464:0,1:0,26:0,06:"M3V"
2090:"Quatre Belle":506,144:4039:0,7:0,87:0,58:"K1V"
1313:"Kawich":61,332:2676:0,2:0,64:0,05:"M7V"
2785:"Xenia":466,101:2745:0,1:0,25:0,06:"M5V"
1016:"Guatavita":372,438:2432:0,1:0,7:0,05:"M8V"
373:"Botany Bay":514,774:2575:0,2:0,65:0,02:"M5V"
1106:"Hiberius":517,127:3921:0,7:NA:0,34:"K7V"
1998:"Paulus Prime":485,685:3156:0,4:0,31:0,03:"M3V"
1130:"Homestead":289,467:2848:0,3:0,6:0,07:"M5V"
988:"Graceland":265,811:2541:0,2:0,62:0,02:"M5V"
163:"Arboris":67,184:3121:0,2:0,63:0,04:"M3V"
2590:"Truth":177,533:2747:0,4:0,08:0,01:"M2V"
1847:"New Sagan":194,789:3036:0,1:0,64:0,07:"M3V"
1759:"Moritz":321,08:2904:0,1:0,25:0,01:"M2V"
1395:"Konstance":98,458:3812:0,6:0,96:0,56:"K5V"
2969:"York":1808,4:5398:0,8:0,99:0,83:"G2V"
534:"Chertan":76,311:2449:0,1:0,14:0,04:"M3V"
3017:"Attenbrooks":988,69:2648:0,4:0,33:0,04:"M6V"
1337:"Keuterville":416,175:2515:0,4:0,43:0,06:"M2V"
2906:"Hope":709,894:3981:0,5:0,72:0,49:"K6V"
2498:"Tau Ceti":12,785:2402:0,4:0,11:0,07:"M4V"
378:"Bowang":353,084:3703:0,6:0,92:0,24:"K7V"
1132:"Hongqiao":325,184:5312:0,8:1,13:1,2:"G5V"
1250:"Jesup":514,985:2598:0,1:0,3:0,01:"M2V"
90:"Alpheratz":525,519:5471:0,9:1,1:0,84:"G5V"
295:"Belladonna":290,927:2832:0,3:0,56:NA:"M5V"
347:"Blue Sava":74,657:2919:0,1:0,63:0,08:"M2V"
947:"Ghaziabad":388,746:5276:0,9:0,98:0,62:"G4V"
1321:"Kek":185,746:4203:0,7:0,78:0,25:"K5V"
1942:"Onverwacht":697,57:2917:0,3:0,12:0,08:"M3V"
2559:"Togwotee":202,445:2917:0,2:0,26:0,01:"M5V"
1055:"Harlez":531,345:4414:0,5:0,85:0,36:"K3V"
2131:"Reinhardstein":222,018:2802:0,3:0,34:0,02:"M4V"
885:"Florarda":258,921:2666:0,4:0,39:0,05:"M7V"
216:"Autumn Wind":188,951:3712:0,6:0,89:0,24:"K7V"
458:"Campoleone":418,415:4273:0,7:0,9:0,55:"K5V"
1294:"Karachi":380,368:2766:0,3:0,66:0,01:"M4V"
2519:"Tetschner":307,793:2523:0,3:0,33:0,02:"M5V"
2351:"Skepptana":563,286:3790:0,6:0,91:0,24:"K7V"
